address,city,country,keys,latitude,longitude,name,postalcode,province
5720 S Transit Rd,Lockport,US,us/ny/lockport/5720stransitrd/-2061630068,43.147235,-78.698348,BURGER KING,14094,NY
5901 100th St SW,Lakewood,US,us/wa/lakewood/5901100thstsw/-2061630068,47.1668,-122.5159,BURGER KING,98499,WA
7398 NE Butler St,Hillsboro,US,us/or/hillsboro/7398nebutlerst/-2061630068,45.53736,-122.90057,BURGER KING,97124,OR
368 E Makaala St Unit A,Hilo,US,us/hi/hilo/368emakaalastunita/-2061630068,19.698786,-155.06082,BURGER KING,96720,HI
1637 Martin Luther King Jr Blvd,Houma,US,us/la/houma/1637martinlutherkingjrblvd/-2061630068,29.6105,-90.7519,BURGER KING,70360,LA
1033 W Tunnel Blvd,Houma,US,us/la/houma/1033wtunnelblvd/-2061630068,29.59167,-90.73489,BURGER KING,70360,LA
1000 W Esplanade Ave Ste C,Kenner,US,us/la/kenner/1000wesplanadeavestec/-2061630068,30.020939,-90.25427,BURGER KING,70065,LA
2050 W Main St,Turlock,US,us/ca/turlock/2050wmainst/-864103396,37.492303,-120.872609,TACO BELL,95380,CA
4285 Bells Ferry Rd NW,Kennesaw,US,us/ga/kennesaw/4285bellsferryrdnw/-2061630068,34.05561,-84.5573,BURGER KING,30144,GA
22442 84th Ave S,Kent,US,us/wa/kent/2244284thaves/-2061630068,47.400917,-122.227866,BURGER KING,98032,WA
1240 W Meeker St,Kent,US,us/wa/kent/1240wmeekerst/-2061630068,47.38133,-122.24926,BURGER KING,98032,WA
1804 1st St,Kennett,US,us/mo/kennett/18041stst/-2061630068,36.236798,-90.035942,BURGER KING,63857,MO
1034 US Highway 211 W,Luray,US,us/va/luray/1034ushighway211w/-2061630068,38.6622,-78.49155,BURGER KING,22835,VA
2449 7th Ave,Marion,US,us/ia/marion/24497thave/-2061630068,42.033264,-91.586355,BURGER KING,52302,IA
619 Dick Rd,Depew,US,us/ny/depew/619dickrd/-2061630068,42.918941,-78.737331,BURGER KING,14043,NY
7404 Nieman Rd,Shawnee,US,"us/ks/shawnee/7404niemanrd/-1696991095,us/ks/shawnee/7404niemanrd/-1696991095",38.9949,-94.7145,CHURCHS CHICKEN,66203,KS
5105 Industrial Boulevard,Minneapolis,US,us/mn/minneapolis/5105industrialboulevard/-2061630068,44.86359,-93.35334,BURGER KING,55439,MN
9777 Wayne Rd,Romulus,US,us/mi/romulus/9777waynerd/-1161002137,42.23306,-83.38503,MCDONALDS,48174,MI
605 N Highway 190,Covington,US,us/la/covington/605nhighway190/-2061630068,30.4381,-90.08357,BURGER KING,70433,LA
316 Philadelphia St,Covington,US,us/ky/covington/316philadelphiast/-2061630068,39.086822,-84.519601,BURGER KING,41011,KY
428 E 13th St,Crete,US,us/ne/crete/428e13thst/-2061630068,40.625243,-96.957562,BURGER KING,68333,NE
1137 N Main St,Crown Point,US,us/in/crownpoint/1137nmainst/-2061630068,41.431926,-87.364454,BURGER KING,46307,IN
3092 Ross Clark Cir,Dothan,US,us/al/dothan/3092rossclarkcir/-2061630068,31.22804,-85.43136,BURGER KING,36301,AL
191 12th Ave NE,Norman,US,us/ok/norman/19112thavene/-2061630068,35.21971,-97.423433,BURGER KING,73071,OK
2561 W Main St,Norristown,US,us/pa/norristown/2561wmainst/-2061630068,40.14181,-75.389151,BURGER KING,19403,PA
4371 Portage St NW,North Canton,US,us/oh/northcanton/4371portagestnw/-2061630068,40.88142,-81.42912,BURGER KING,44720,OH
